,Type,Age,Breed1,Gender,Color1,Color2,MaturitySize,FurLength,Vaccinated,Sterilized,Health,Fee,PhotoAmt,Adopted
3469,Cat,7,Domestic Short Hair,Female,Black,White,Small,Short,Yes,Yes,Healthy,0,4,No
3470,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,4,Yes
3471,Cat,3,Domestic Short Hair,Female,Black,No Color,Small,Short,No,No,Minor Injury,0,1,No
3472,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
3473,Dog,6,Dachshund,Female,Brown,Cream,Small,Medium,Not Sure,Yes,Healthy,0,5,Yes
3474,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,No,Not Sure,Healthy,0,2,No
3475,Dog,2,Mixed Breed,Female,Black,White,Medium,Short,Yes,Not Sure,Healthy,0,1,No
3476,Dog,12,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,Yes,Healthy,0,1,No
3477,Dog,53,Pug,Female,Black,Cream,Medium,Short,Yes,Yes,Minor Injury,0,1,Yes
3478,Cat,12,Calico,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,1,No
3479,Dog,24,Beagle,Female,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes
3480,Dog,8,Mixed Breed,Male,Black,No Color,Large,Short,Yes,Yes,Healthy,0,1,Yes
3481,Dog,2,Mixed Breed,Female,Black,White,Large,Short,No,No,Healthy,50,16,Yes
3482,Cat,5,Domestic Short Hair,Male,Golden,Yellow,Small,Short,No,No,Healthy,0,7,Yes
3483,Cat,2,Tabby,Male,Black,Gray,Small,Medium,No,No,Healthy,0,2,Yes
3484,Dog,12,Mixed Breed,Female,Black,White,Medium,Short,Not Sure,Not Sure,Healthy,0,3,Yes
3485,Dog,48,Mixed Breed,Male,Black,Brown,Large,Medium,Not Sure,No,Healthy,0,2,No
3486,Dog,24,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,3,Yes
3487,Cat,2,Domestic Medium Hair,Female,Black,White,Medium,Medium,No,No,Healthy,0,4,Yes
3488,Dog,1,Mixed Breed,Female,Cream,White,Medium,Short,Yes,No,Healthy,50,3,Yes
3489,Cat,4,Domestic Long Hair,Male,Cream,No Color,Large,Medium,Yes,No,Healthy,0,4,Yes
3490,Cat,11,Domestic Short Hair,Female,Brown,Gray,Medium,Short,Yes,Yes,Healthy,0,3,Yes
3491,Cat,4,Dilute Tortoiseshell,Female,Brown,Yellow,Small,Short,No,No,Healthy,0,3,Yes
3492,Dog,8,Boston Terrier,Male,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,3,No
3493,Cat,5,Domestic Short Hair,Male,Brown,White,Medium,Short,No,No,Healthy,0,1,Yes
3494,Dog,3,Mixed Breed,Female,Cream,White,Medium,Medium,No,No,Healthy,0,3,Yes
3495,Dog,2,Mixed Breed,Male,Brown,White,Medium,Short,Yes,No,Healthy,0,7,Yes
3496,Cat,6,Javanese,Male,Black,White,Medium,Medium,No,No,Healthy,0,3,No
3497,Dog,2,Labrador Retriever,Female,Brown,Yellow,Medium,Medium,No,No,Healthy,0,8,Yes
3498,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
3499,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,5,Yes
3500,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,4,Yes
3501,Cat,2,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,3,Yes
3502,Dog,24,Mixed Breed,Female,Black,White,Medium,Short,Yes,Yes,Minor Injury,0,3,Yes
3503,Dog,2,Mixed Breed,Male,Black,White,Medium,Medium,Yes,No,Minor Injury,0,4,Yes
3504,Dog,84,French Bulldog,Male,Golden,White,Medium,Short,Yes,No,Healthy,100,7,Yes
3505,Dog,1,Mixed Breed,Female,Black,No Color,Medium,Short,No,No,Healthy,0,5,Yes
3506,Dog,12,Mixed Breed,Female,White,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,6,Yes
3507,Cat,6,Bombay,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
3508,Cat,6,Korat,Male,Gray,White,Medium,Short,No,Yes,Healthy,0,2,Yes
3509,Cat,12,Siamese,Female,Black,Brown,Small,Medium,No,Yes,Healthy,150,19,Yes
3510,Dog,60,Poodle,Female,Cream,No Color,Small,Medium,Yes,Yes,Healthy,0,1,No
3511,Cat,12,Domestic Short Hair,Female,Black,White,Medium,Short,Yes,No,Healthy,0,1,Yes
3512,Dog,1,Mixed Breed,Female,Black,White,Medium,Short,No,No,Healthy,0,1,Yes
3513,Cat,2,Domestic Short Hair,Male,Golden,Yellow,Small,Short,No,No,Healthy,30,4,Yes
3514,Cat,21,Domestic Short Hair,Female,Black,Gray,Medium,Medium,Not Sure,Yes,Healthy,0,8,No
3515,Dog,12,Mixed Breed,Male,Brown,No Color,Medium,Short,Yes,Yes,Minor Injury,0,1,Yes
3516,Cat,3,Domestic Short Hair,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,1,Yes
3517,Cat,3,Domestic Short Hair,Male,Gray,White,Small,Short,Yes,Yes,Healthy,50,8,No
3518,Dog,54,Pomeranian,Male,Brown,Cream,Small,Medium,Not Sure,Not Sure,Healthy,0,12,Yes
3519,Cat,1,Domestic Short Hair,Female,Black,White,Medium,Short,No,No,Healthy,0,2,Yes
3520,Cat,1,Domestic Short Hair,Female,Brown,No Color,Large,Short,No,No,Healthy,0,4,Yes
3521,Dog,108,Cocker Spaniel,Male,Brown,No Color,Small,Long,Yes,Yes,Healthy,0,3,Yes
3522,Dog,5,Beagle,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,5,Yes
3523,Cat,1,Domestic Short Hair,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,4,Yes
3524,Dog,3,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,4,Yes
3525,Cat,4,Domestic Short Hair,Female,Black,Cream,Small,Short,No,No,Healthy,0,5,Yes
3526,Dog,6,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,1,No
3527,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,3,Yes
3528,Dog,12,Mixed Breed,Male,Yellow,White,Medium,Short,Yes,Yes,Healthy,0,4,Yes
3529,Dog,6,Mixed Breed,Male,Black,No Color,Medium,Medium,Yes,No,Healthy,0,10,Yes
3530,Dog,6,Mixed Breed,Male,Black,No Color,Medium,Short,Not Sure,Not Sure,Healthy,0,2,Yes
3531,Dog,3,Mixed Breed,Female,Golden,Cream,Medium,Short,Yes,No,Healthy,0,2,Yes
3532,Dog,3,Mixed Breed,Female,Brown,Cream,Medium,Short,Yes,No,Healthy,0,2,Yes
3533,Dog,2,Mixed Breed,Female,Cream,Gray,Medium,Short,Yes,No,Healthy,0,1,Yes
3534,Cat,1,Domestic Long Hair,Female,Yellow,Gray,Large,Medium,No,No,Healthy,0,9,Yes
3535,Cat,2,Domestic Short Hair,Female,Golden,White,Medium,Short,No,No,Healthy,30,5,Yes
3536,Cat,3,Siamese,Female,Black,White,Medium,Medium,No,No,Healthy,0,9,Yes
3537,Cat,1,Domestic Medium Hair,Male,Black,White,Large,Medium,No,No,Healthy,0,4,No
3538,Cat,6,Domestic Short Hair,Male,Brown,White,Medium,Short,Yes,Yes,Healthy,160,3,No
3539,Dog,6,Mixed Breed,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes
3540,Dog,36,Labrador Retriever,Female,Black,No Color,Medium,Long,Yes,Yes,Healthy,0,2,No
3541,Dog,12,Beagle,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,Yes
3542,Dog,2,Mixed Breed,Female,Black,Golden,Medium,Medium,Yes,No,Healthy,0,5,Yes
3543,Cat,80,Tabby,Female,Black,Gray,Medium,Short,Yes,Yes,Healthy,50,2,Yes
3544,Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,No,No,Minor Injury,0,2,No
3545,Cat,24,Domestic Long Hair,Female,Black,Yellow,Medium,Long,No,No,Healthy,0,5,Yes
3546,Dog,8,Mixed Breed,Female,Black,White,Medium,Medium,Yes,Yes,Healthy,0,2,Yes
3547,Dog,48,Labrador Retriever,Male,Cream,No Color,Large,Short,Yes,Yes,Healthy,250,2,Yes
3548,Dog,2,Mixed Breed,Female,Brown,No Color,Large,Medium,No,No,Minor Injury,0,2,Yes
3549,Dog,2,Mixed Breed,Female,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,2,No
3550,Cat,6,Siamese,Male,Brown,Cream,Medium,Short,No,No,Healthy,0,4,Yes
3551,Dog,60,Spitz,Male,White,No Color,Medium,Medium,No,No,Healthy,0,3,Yes
3552,Cat,1,Domestic Short Hair,Female,Black,Brown,Small,Short,No,No,Healthy,0,4,Yes
3553,Cat,2,Domestic Short Hair,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,2,Yes
3554,Cat,1,American Shorthair,Male,Black,Brown,Small,Short,No,No,Healthy,0,1,No
3555,Dog,2,Mixed Breed,Female,Brown,Yellow,Small,Short,Yes,Yes,Healthy,0,10,Yes
3556,Dog,5,Mixed Breed,Male,Cream,No Color,Medium,Short,Yes,Yes,Healthy,0,3,No
3557,Dog,2,Mixed Breed,Female,Yellow,No Color,Medium,Short,No,No,Healthy,0,7,Yes
3558,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,6,No
3559,Dog,2,Mixed Breed,Female,Cream,No Color,Medium,Short,Not Sure,No,Healthy,0,2,Yes
3560,Dog,3,Mixed Breed,Female,Cream,No Color,Medium,Short,No,No,Healthy,0,3,Yes
3561,Cat,2,Domestic Short Hair,Male,Black,No Color,Medium,Medium,Yes,No,Healthy,0,3,Yes
3562,Cat,3,Domestic Long Hair,Male,Black,White,Large,Long,No,No,Healthy,50,4,Yes
3563,Cat,3,Domestic Medium Hair,Female,Brown,White,Medium,Medium,Yes,No,Minor Injury,0,2,Yes
3564,Dog,6,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,3,No
3565,Cat,2,Domestic Short Hair,Female,Cream,Gray,Small,Short,No,No,Healthy,0,5,No
3566,Dog,9,Greyhound,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,2,Yes
3567,Cat,12,Domestic Short Hair,Male,Black,Gray,Large,Short,No,Yes,Healthy,0,3,No
3568,Cat,12,Domestic Medium Hair,Male,Black,White,Medium,Medium,Yes,No,Healthy,0,3,Yes
3569,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,90,1,Yes
3570,Cat,5,Domestic Short Hair,Female,Black,White,Small,Short,Yes,Yes,Healthy,100,2,No
3571,Cat,48,Domestic Short Hair,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,3,No
3572,Cat,3,Domestic Short Hair,Male,Golden,Yellow,Medium,Short,No,No,Healthy,0,5,Yes
3573,Cat,6,Oriental Short Hair,Female,Black,White,Small,Short,No,No,Healthy,30,1,No
3574,Dog,1,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,0,1,Yes
3575,Cat,2,Calico,Female,Black,Brown,Small,Medium,No,No,Healthy,0,5,Yes
3576,Dog,1,Mixed Breed,Male,Golden,No Color,Medium,Short,No,No,Healthy,0,1,Yes
3577,Dog,24,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,3,No
3578,Cat,4,Domestic Short Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,10,4,Yes
3579,Dog,3,Labrador Retriever,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,Yes
3580,Dog,15,Mixed Breed,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,6,Yes
3581,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,2,Yes
3582,Dog,4,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,Yes,Healthy,0,2,Yes
3583,Dog,2,Mixed Breed,Female,Black,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
3584,Dog,12,Mixed Breed,Male,Brown,Golden,Medium,Short,Yes,Not Sure,Healthy,0,5,No
3585,Dog,22,Golden Retriever,Female,Brown,White,Medium,Short,Yes,No,Healthy,0,2,Yes
3586,Dog,12,Shetland Sheepdog Sheltie,Male,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,5,Yes
3587,Cat,9,Bengal,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,1,Yes
3588,Dog,12,Mixed Breed,Female,Brown,Golden,Small,Short,Not Sure,Not Sure,Healthy,0,5,Yes
3589,Cat,1,Domestic Short Hair,Male,Yellow,White,Small,Short,No,No,Healthy,0,3,Yes
3590,Cat,1,Domestic Medium Hair,Female,Black,No Color,Medium,Medium,Yes,No,Healthy,0,2,Yes
3591,Cat,11,Domestic Medium Hair,Female,Brown,Gray,Medium,Medium,Yes,Yes,Healthy,0,4,Yes
3592,Dog,2,Mixed Breed,Female,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,2,No
3593,Cat,2,Domestic Medium Hair,Male,Brown,Golden,Medium,Medium,No,No,Healthy,0,3,Yes
3594,Dog,18,Shih Tzu,Female,Gray,White,Small,Long,Not Sure,Not Sure,Healthy,300,4,Yes
3595,Cat,0,Domestic Short Hair,Male,Black,No Color,Medium,Short,No,No,Healthy,0,10,Yes
3596,Dog,36,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,Yes,Healthy,0,1,No
3597,Cat,2,Domestic Long Hair,Male,Brown,Golden,Medium,Medium,No,No,Healthy,0,2,Yes
3598,Dog,2,Mixed Breed,Male,White,No Color,Medium,Short,Yes,Not Sure,Healthy,50,1,Yes
3599,Dog,3,Mixed Breed,Male,Cream,No Color,Medium,Short,Yes,No,Healthy,0,4,Yes
3600,Dog,3,Mixed Breed,Female,Black,No Color,Medium,Medium,Yes,No,Minor Injury,0,1,Yes
3601,Dog,2,Golden Retriever,Female,Black,White,Medium,Short,Yes,No,Healthy,0,5,Yes
3602,Dog,63,Golden Retriever,Female,Black,No Color,Medium,Short,Yes,Yes,Healthy,50,5,Yes
3603,Dog,84,Bull Terrier,Female,White,No Color,Medium,Short,Yes,Yes,Healthy,0,1,No
3604,Cat,2,Domestic Short Hair,Male,Black,White,Medium,Short,Yes,No,Healthy,100,4,Yes
3605,Dog,12,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,Not Sure,Healthy,0,2,No
3606,Cat,1,Tabby,Male,Black,Gray,Medium,Short,No,No,Healthy,0,3,Yes
3607,Dog,4,Miniature Pinscher,Female,Black,No Color,Medium,Short,No,No,Healthy,0,5,Yes
3608,Cat,2,Domestic Medium Hair,Female,Black,No Color,Small,Short,Not Sure,Not Sure,Minor Injury,0,1,No
3609,Dog,6,Rottweiler,Male,Black,Golden,Large,Short,Yes,Yes,Healthy,0,4,No
3610,Dog,2,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,1,Yes
3611,Cat,1,Domestic Short Hair,Male,Black,White,Small,Short,No,No,Healthy,0,4,Yes
3612,Dog,3,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,4,Yes
3613,Dog,12,Mixed Breed,Male,Brown,No Color,Medium,Short,No,No,Healthy,250,1,No
3614,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Short,No,No,Healthy,0,2,Yes
3615,Dog,12,Mixed Breed,Male,Brown,White,Medium,Short,Not Sure,Not Sure,Healthy,0,4,No
3616,Cat,4,Domestic Medium Hair,Male,Gray,No Color,Medium,Medium,No,No,Healthy,0,5,Yes
3617,Cat,12,Tortoiseshell,Female,Black,Brown,Small,Medium,Yes,Yes,Healthy,300,4,No
3618,Cat,12,Domestic Short Hair,Female,Golden,White,Medium,Medium,No,No,Healthy,0,1,Yes
3619,Dog,3,Mixed Breed,Male,Cream,No Color,Small,Short,Yes,No,Healthy,270,5,Yes
3620,Cat,36,American Wirehair,Male,Golden,No Color,Large,Medium,Not Sure,No,Minor Injury,0,2,No
3621,Cat,2,Domestic Long Hair,Male,Black,White,Small,Long,No,No,Healthy,250,3,Yes
3622,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,Yes,No,Healthy,0,3,Yes
3623,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,3,Yes
3624,Cat,29,Domestic Short Hair,Male,Gray,No Color,Medium,Short,Yes,Yes,Healthy,30,4,Yes
3625,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
3626,Dog,5,Spitz,Female,Brown,White,Medium,Medium,Not Sure,Yes,Healthy,0,1,Yes
3627,Dog,36,Poodle,Male,Cream,White,Small,Medium,Yes,Yes,Healthy,200,4,Yes
3628,Dog,14,Mixed Breed,Male,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,2,No
3629,Cat,1,Domestic Long Hair,Female,Black,White,Large,Long,No,No,Healthy,0,9,Yes
3630,Cat,1,Domestic Short Hair,Female,Gray,No Color,Medium,Medium,Yes,No,Healthy,0,4,Yes
3631,Cat,1,Domestic Medium Hair,Male,Black,White,Medium,Medium,No,No,Healthy,50,6,Yes
3632,Dog,36,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,Yes,Healthy,0,1,No
3633,Cat,12,British Shorthair,Female,Black,Golden,Medium,Short,Not Sure,Yes,Healthy,0,2,No
3634,Dog,6,Mixed Breed,Female,Black,White,Medium,Medium,Yes,No,Healthy,0,5,No
3635,Dog,96,Golden Retriever,Male,Golden,No Color,Large,Long,Yes,No,Healthy,0,1,No
3636,Cat,3,Domestic Short Hair,Female,Brown,Golden,Medium,Medium,Not Sure,Not Sure,Healthy,0,4,Yes
3637,Dog,17,Mixed Breed,Female,Black,Gray,Large,Medium,Yes,Yes,Healthy,0,5,No
3638,Cat,1,Domestic Medium Hair,Male,Black,Gray,Small,Medium,No,No,Healthy,0,2,Yes
3639,Cat,12,Tuxedo,Male,Black,White,Small,Short,Not Sure,Not Sure,Minor Injury,0,1,No
3640,Dog,6,Mixed Breed,Female,Black,No Color,Medium,Medium,No,Yes,Healthy,0,4,Yes
3641,Cat,1,Domestic Medium Hair,Male,Yellow,White,Medium,Medium,No,No,Healthy,0,5,Yes
3642,Dog,6,Mixed Breed,Male,Brown,Cream,Small,Short,Yes,No,Healthy,0,3,No
3643,Dog,1,Mixed Breed,Female,Golden,No Color,Medium,Short,No,No,Healthy,0,1,Yes
3644,Dog,1,Mixed Breed,Female,Brown,White,Medium,Medium,Yes,No,Healthy,0,4,No
3645,Cat,3,Domestic Short Hair,Male,Black,No Color,Medium,Short,No,No,Healthy,0,2,Yes
3646,Cat,4,Domestic Short Hair,Male,Golden,White,Medium,Short,Yes,No,Healthy,0,7,Yes
3647,Dog,2,Mixed Breed,Female,Black,White,Medium,Short,Yes,No,Healthy,0,8,Yes
3648,Cat,7,Calico,Female,Black,Yellow,Medium,Short,Yes,No,Healthy,0,11,Yes
3649,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,1,Yes
3650,Cat,6,Domestic Short Hair,Female,Black,White,Medium,Short,Not Sure,Not Sure,Healthy,0,3,No
3651,Dog,24,Mixed Breed,Male,Brown,No Color,Small,Medium,Yes,No,Healthy,0,5,Yes
3652,Cat,8,Domestic Medium Hair,Female,Brown,Yellow,Medium,Medium,Not Sure,Yes,Healthy,0,3,No
3653,Cat,5,Tabby,Female,Black,Yellow,Large,Medium,No,No,Healthy,0,1,Yes
3654,Dog,120,Mixed Breed,Male,Brown,Golden,Medium,Medium,Not Sure,Not Sure,Minor Injury,0,1,No
3655,Dog,2,Doberman Pinscher,Female,Black,No Color,Large,Short,Yes,No,Healthy,600,3,Yes
3656,Dog,2,Mixed Breed,Female,Brown,Cream,Medium,Short,No,No,Healthy,0,3,Yes
3657,Dog,3,Mixed Breed,Male,Brown,Cream,Medium,Medium,Yes,Yes,Healthy,0,4,Yes
3658,Dog,2,Mixed Breed,Male,Brown,Cream,Medium,Short,Yes,Not Sure,Healthy,200,4,Yes
3659,Cat,2,Domestic Medium Hair,Female,Gray,No Color,Small,Medium,No,No,Healthy,0,1,Yes
3660,Dog,2,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,0,2,Yes
3661,Cat,3,Domestic Short Hair,Female,Gray,No Color,Medium,Short,No,No,Healthy,0,1,Yes
3662,Cat,1,Tabby,Female,Brown,Golden,Medium,Short,No,No,Healthy,50,7,Yes
3663,Cat,5,Silver,Female,Black,Yellow,Small,Short,Yes,Yes,Healthy,0,3,No
3664,Cat,24,Calico,Female,Golden,Gray,Small,Short,Yes,Yes,Healthy,50,13,Yes
3665,Dog,18,Munsterlander,Male,Cream,White,Large,Medium,No,No,Healthy,0,3,Yes
3666,Cat,3,Oriental Long Hair,Female,Black,Brown,Medium,Long,Not Sure,Not Sure,Healthy,0,3,Yes
3667,Dog,1,Labrador Retriever,Female,Black,Brown,Medium,Short,No,No,Healthy,0,4,Yes
3668,Dog,15,Boxer,Male,Black,Brown,Large,Short,Yes,No,Healthy,0,1,Yes
3669,Dog,8,Jack Russell Terrier,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,8,Yes
3670,Dog,60,Pekingese,Female,Brown,Golden,Small,Medium,Yes,No,Healthy,0,5,Yes
3671,Dog,96,Miniature Pinscher,Male,Brown,No Color,Small,Short,Yes,No,Healthy,100,2,Yes
3672,Cat,12,Calico,Female,Yellow,Gray,Medium,Short,Yes,Yes,Healthy,0,5,Yes
3673,Cat,3,Domestic Short Hair,Male,Black,White,Medium,Short,No,No,Healthy,0,14,Yes
3674,Cat,5,Domestic Medium Hair,Female,Golden,White,Medium,Medium,No,No,Healthy,150,5,No
3675,Dog,2,Mixed Breed,Male,Brown,Golden,Medium,Short,No,No,Healthy,0,2,Yes
3676,Cat,2,Domestic Short Hair,Male,Brown,White,Small,Short,Not Sure,Yes,Healthy,0,3,Yes
3677,Cat,5,Domestic Short Hair,Female,Black,Gray,Medium,Short,No,No,Healthy,0,2,Yes
3678,Dog,3,Belgian Shepherd Malinois,Male,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,3,Yes
3679,Dog,12,Mixed Breed,Female,Cream,No Color,Small,Short,Yes,No,Healthy,0,2,No
3680,Cat,17,Domestic Long Hair,Female,Black,No Color,Medium,Long,Yes,No,Healthy,0,5,Yes
3681,Cat,9,Domestic Short Hair,Female,Yellow,No Color,Medium,Short,Not Sure,Not Sure,Minor Injury,0,3,No
3682,Dog,1,Mixed Breed,Male,Black,No Color,Medium,Medium,No,No,Healthy,0,3,Yes
3683,Cat,4,Domestic Short Hair,Female,Brown,Gray,Small,Short,No,No,Healthy,0,4,Yes
3684,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Medium,Yes,No,Healthy,0,5,Yes
3685,Dog,3,Mixed Breed,Female,Brown,No Color,Small,Short,Not Sure,Not Sure,Healthy,0,1,Yes
3686,Dog,5,Jack Russell Terrier,Female,Black,Brown,Medium,Short,Not Sure,No,Healthy,0,5,Yes
3687,Dog,3,Mixed Breed,Male,Yellow,Cream,Medium,Short,Yes,No,Healthy,100,1,No
3688,Dog,2,Mixed Breed,Female,Black,Brown,Medium,Medium,No,No,Healthy,0,2,Yes
3689,Dog,4,Mixed Breed,Female,Brown,No Color,Large,Medium,Not Sure,No,Healthy,0,2,No
3690,Dog,2,Border Collie,Female,Black,White,Medium,Long,Yes,Yes,Healthy,0,1,No
3691,Dog,2,Mixed Breed,Male,Brown,No Color,Medium,Medium,Yes,No,Healthy,0,1,Yes
3692,Dog,7,Siberian Husky,Female,Gray,White,Large,Medium,Yes,No,Healthy,1000,5,Yes
3693,Dog,12,Chihuahua,Female,Black,Golden,Small,Short,Not Sure,Not Sure,Healthy,0,2,Yes
3694,Dog,1,Mixed Breed,Female,Brown,Golden,Medium,Short,No,No,Healthy,150,1,Yes
3695,Cat,14,Domestic Short Hair,Female,Brown,White,Medium,Short,Yes,Yes,Healthy,0,3,No
3696,Dog,4,Labrador Retriever,Male,Golden,Yellow,Medium,Short,Yes,No,Healthy,0,7,Yes
3697,Dog,18,Corgi,Male,Cream,No Color,Medium,Medium,Yes,Yes,Healthy,200,2,Yes
3698,Dog,2,Mixed Breed,Female,Golden,No Color,Medium,Short,Yes,No,Healthy,0,1,No
3699,Cat,15,Tabby,Male,Yellow,White,Medium,Short,Yes,No,Healthy,0,3,No
3700,Dog,4,Mixed Breed,Female,Brown,Golden,Medium,Short,Yes,No,Healthy,0,2,Yes
3701,Dog,27,Mixed Breed,Female,Brown,Yellow,Medium,Short,Yes,No,Healthy,0,7,Yes
3702,Cat,19,Domestic Medium Hair,Female,Black,White,Medium,Medium,Yes,Yes,Healthy,150,2,No
3703,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Medium,No,No,Healthy,0,1,Yes
3704,Dog,12,Mixed Breed,Female,Brown,Cream,Medium,Medium,Not Sure,Not Sure,Minor Injury,0,3,No
3705,Dog,1,Mixed Breed,Male,Black,Brown,Medium,Short,No,No,Healthy,20,5,Yes
3706,Dog,8,Mixed Breed,Female,Yellow,Cream,Medium,Medium,Yes,No,Healthy,0,3,No
3707,Cat,24,Domestic Short Hair,Male,Gray,White,Medium,Short,Yes,Yes,Healthy,0,5,Yes
3708,Dog,1,Mixed Breed,Female,Brown,No Color,Medium,Short,No,No,Healthy,0,1,Yes
3709,Dog,3,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,1,No
3710,Dog,1,Mixed Breed,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,10,Yes
3711,Dog,36,Shih Tzu,Male,Brown,Cream,Small,Medium,Not Sure,Not Sure,Minor Injury,0,4,Yes
3712,Cat,12,Domestic Short Hair,Female,Black,Brown,Small,Short,Not Sure,Not Sure,Healthy,0,1,No
3713,Cat,3,Domestic Medium Hair,Female,Cream,Gray,Medium,Medium,Yes,No,Healthy,0,3,Yes
3714,Dog,24,Mixed Breed,Female,White,No Color,Small,Short,Yes,Yes,Healthy,0,3,Yes
3715,Dog,36,Miniature Pinscher,Female,Black,Brown,Small,Short,Yes,No,Healthy,0,1,Yes
3716,Cat,7,Domestic Short Hair,Female,Black,Brown,Medium,Short,Yes,No,Healthy,0,4,Yes
3717,Dog,2,Mixed Breed,Female,White,No Color,Medium,Medium,Not Sure,No,Healthy,0,1,No
3718,Dog,5,Mixed Breed,Female,Brown,No Color,Medium,Short,Yes,Yes,Healthy,0,2,Yes
3719,Cat,2,Siamese,Male,Cream,Gray,Small,Medium,Not Sure,Not Sure,Healthy,0,4,Yes
3720,Cat,5,Burmese,Female,Brown,Gray,Medium,Medium,No,No,Healthy,0,3,Yes
3721,Cat,60,Calico,Female,Black,Golden,Medium,Short,Yes,Yes,Healthy,0,10,Yes
3722,Cat,3,Domestic Medium Hair,Female,Gray,White,Small,Medium,Yes,No,Healthy,0,2,Yes
3723,Dog,24,Mixed Breed,Female,Brown,No Color,Small,Short,Yes,Yes,Healthy,0,5,No
3724,Cat,2,Domestic Short Hair,Male,Golden,Gray,Small,Medium,No,No,Healthy,0,2,Yes
3725,Dog,3,Mixed Breed,Female,Black,Cream,Medium,Medium,No,No,Healthy,0,5,Yes
3726,Cat,3,Domestic Short Hair,Female,Black,Yellow,Medium,Short,No,No,Healthy,0,5,No
3727,Dog,4,Mixed Breed,Female,Black,No Color,Medium,Short,Yes,No,Healthy,0,3,Yes
3728,Dog,3,Mixed Breed,Female,Black,Golden,Large,Medium,Yes,No,Healthy,0,19,Yes
